梯队,POI,镇街,类型,评论数,入模评论数,评论文化识别等级,总关系数,文化实体关系数,体验主题关系数,主要评论实体,语义判断
第四梯队：未形成识别/条件培育型,三山森林公园,桂城街道,公园绿地,10,10,未形成,2,0,2,摄影打卡(体验主题)、空间景观(体验主题),游客评论主要聚焦于自然生态、休闲运动及高铁景观拍摄，未识别出任何与南海地方文化、历史人物、非遗民俗或岭南生活方式相关的文化实体，文旅融合在文化内容层面尚未显现。
第四梯队：未形成识别/条件培育型,仙湖度假区,狮山镇,自然景观,10,10,未形成,2,0,2,空间景观(体验主题)、商业消费(体验主题),评论主要聚焦于自然景观、酒店住宿和休闲设施，未识别到任何特定的人物、非遗、历史记忆或岭南地方性文化实体，文旅融合在文化内容层面尚未体现。
第四梯队：未形成识别/条件培育型,桂城儿童公园,桂城街道,公园绿地,6,6,未形成,2,0,2,湿地科普(体验主题)、晨练(体验主题),评论仅聚焦于亲子游乐设施、绿化环境及交通状况，完全未涉及任何地方文化实体或岭南地域特征，属于纯功能性休闲空间评价。
第四梯队：未形成识别/条件培育型,西樵山国家地质公园,西樵镇,自然景观,6,6,未形成,2,0,2,空间景观(体验主题)、文化认知(体验主题),评论主要聚焦于自然景观、登山体力消耗及交通票价等基础旅游要素，完全缺失对西樵山特有的理学文化、宗教文化或历史人物等地方文化内容的识别。
第四梯队：未形成识别/条件培育型,碰碰车,丹灶镇,休闲娱乐,5,5,未形成,2,0,2,亲子体验(体验主题)、空间景观(体验主题),评论仅聚焦于游乐设施的趣味性和亲子体验，完全未涉及任何地方文化实体或岭南地域特征。
第四梯队：未形成识别/条件培育型,璜矶鹭鸟天堂,九江镇,自然景观,4,4,未形成,2,0,2,空间景观(体验主题)、商业消费(体验主题),评论仅聚焦于自然生态景观与餐饮配套，完全缺失对九江镇水乡文化、鹭鸟保护历史或地方民俗的识别，文旅融合尚未在游客认知层面发生。
第四梯队：未形成识别/条件培育型,罗村中心广场,狮山镇,公园绿地,4,4,未形成,2,0,2,拍拍照(体验主题)、跳舞打球(体验主题),评论仅体现普通市民休闲健身与景观打卡功能，完全缺失对地方文化实体（如人物、非遗、历史空间等）的识别与体验。
第四梯队：未形成识别/条件培育型,怡海公园,桂城街道,公园绿地,3,3,未形成,2,0,2,空间景观(体验主题)、摄影打卡(体验主题),评论主要聚焦于休闲健身、自然景观及基础设施，未识别到任何具体的地方文化实体或历史内涵，文旅融合在文化内容层面尚未显现。
第四梯队：未形成识别/条件培育型,星沐森林·昆虫自然博物馆,桂城街道,文化场馆,3,3,未形成,2,0,2,认识和亲近昆虫(体验主题)、观察蚂蚁洞穴规律(体验主题),评论主要聚焦于亲子科普、动物互动体验及票价信息，未识别到任何地方文化实体或岭南地域特色，属于通用型自然教育场馆体验。
第四梯队：未形成识别/条件培育型,南海花卉博览园,里水镇,公园绿地,2,2,未形成,2,0,2,摄影打卡(体验主题)、空间景观(体验主题),评论仅聚焦于植物品种观赏与个人游玩体验，未识别到任何地方文化实体或岭南文化特征。
第四梯队：未形成识别/条件培育型,市民广场,狮山镇,公园绿地,1,1,未形成,2,0,2,空间景观(体验主题)、商业消费(体验主题),评论仅聚焦于自然景观、休闲设施与周边商业配套，未识别到任何地方文化实体或岭南特色内容。
第四梯队：未形成识别/条件培育型,沙溪公园,里水镇,公园绿地,1,1,未形成,2,0,2,空间景观(体验主题)、摄影打卡(体验主题),评论仅聚焦于自然生态景观与休闲健身功能，未识别到任何地方文化实体或非遗民俗内容，属于纯公共绿地休闲体验。
第四梯队：未形成识别/条件培育型,桂花岛,桂城街道,自然景观,1,1,未形成,1,0,1,摄影打卡(体验主题),评论仅聚焦于票价、时长和天气等基础游览体验，未识别到任何地方文化实体或文旅融合内容。
第四梯队：未形成识别/条件培育型,樵山文化中心A区,西樵镇,文化场馆,1,1,未形成,1,0,1,烟花爆竹(体验主题),评论仅提及具体活动行为，未涉及任何地方文化实体、历史背景或岭南特色，无法体现文旅融合内容。
第四梯队：未形成识别/条件培育型,银坑村祠堂(乡约),西樵镇,人文古迹,1,1,未形成,1,0,1,摄影打卡(体验主题),评论仅提及民宿摄影与周边自然景观，完全未涉及祠堂本体或任何地方文化内容，文旅融合在评论层面未发生。
第四梯队：未形成识别/条件培育型,水月宫,里水镇,宗教场所,3,3,未形成,0,0,0,,评论文本主要复制了肇庆星湖的通用百科介绍或攻略，未包含游客对佛山南海里水镇水月宫的真实实地体验与文化识别，且地点匹配存在明显错误（将肇庆景点误植为南海 POI），导致无法提取有效的在地文化实体。
第四梯队：未形成识别/条件培育型,周氏大宗祠,大沥镇,人文古迹,2,2,未形成,0,0,0,,评论仅重复地点名称，缺乏对宗祠建筑、家族历史或民俗活动的具体描述，未体现任何实质性的文化识别与文旅融合内容。
第四梯队：未形成识别/条件培育型,阳光沙滩,桂城街道,自然景观,2,2,未形成,0,0,0,,评论仅重复地点名称，完全缺失对人物、非遗、空间、历史或岭南地方性等文化实体的识别与体验描述。
第四梯队：未形成识别/条件培育型,一线天,西樵镇,自然景观,1,1,未形成,0,0,0,,评论仅表达社交游玩意图，未提及任何地方文化实体或具体体验内容。
第四梯队：未形成识别/条件培育型,三山花海乐田,桂城街道,自然景观,1,1,未形成,0,0,0,,评论仅包含地点名称，缺乏对人物、非遗、空间、历史或岭南地方性文化的具体描述与体验反馈，无法体现文旅融合内容。
第四梯队：未形成识别/条件培育型,东王府,大沥镇,人文古迹,1,1,未形成,0,0,0,,评论仅包含地点名称，缺乏对人物、非遗、空间细节、历史记忆或岭南地方性的任何实质性描述，无法体现文旅融合内容。
第四梯队：未形成识别/条件培育型,九江镇望海观音寺(不对外开放),九江镇,宗教场所,1,1,未形成,0,0,0,,评论仅复述地点名称，未包含任何文化实体描述或游客体验内容，无法体现文旅融合状态。
第四梯队：未形成识别/条件培育型,九龙Park欢乐世界,大沥镇,体育设施,1,1,未形成,0,0,0,,评论仅包含地点名称，缺乏任何文化实体描述或体验细节，无法体现文旅融合内容。
第四梯队：未形成识别/条件培育型,九龙公园,里水镇,公园绿地,1,1,未形成,0,0,0,,评论仅提及地点名称，未包含任何具体文化实体、历史记忆或地方性体验描述，无法体现文旅融合内容。
第四梯队：未形成识别/条件培育型,从一蓝莓采摘园(南海白塔店),里水镇,休闲娱乐,1,1,未形成,0,0,0,,评论仅包含地点名称复述，未涉及任何人物、非遗、空间、历史或岭南地方性文化内容，无法体现文旅融合。
第四梯队：未形成识别/条件培育型,佛山千灯湖音乐秀场,桂城街道,休闲娱乐,1,1,未形成,0,0,0,,评论仅提及地点名称，未包含任何人物、非遗、空间、历史或地方性文化实体，无法体现文旅融合内容。
第四梯队：未形成识别/条件培育型,佛山活体昆虫博物馆,西樵镇,文化场馆,1,1,未形成,0,0,0,,评论仅提及地点名称，未包含任何人物、非遗、历史记忆或岭南地方性文化内容，无法体现文旅融合特征。
第四梯队：未形成识别/条件培育型,假日广场,里水镇,公园绿地,1,1,未形成,0,0,0,,评论仅提及地点名称，未包含任何文化实体描述或体验细节，无法体现文旅融合特征。
第四梯队：未形成识别/条件培育型,华南师范大学(佛山校区南海校园)图书馆,狮山镇,文化场馆,1,1,未形成,0,0,0,,评论文本仅提及地点名称且存在校区混淆，未包含任何具体的地方文化实体、非遗民俗或历史记忆内容，无法体现文旅融合特征。
第四梯队：未形成识别/条件培育型,南海科学馆,桂城街道,文化场馆,1,1,未形成,0,0,0,,评论仅提及地点名称，缺乏对具体文化实体、展陈内容或地方性体验的描述，无法体现文旅融合特征。
第四梯队：未形成识别/条件培育型,同庆坊,桂城街道,人文古迹,1,1,未形成,0,0,0,,评论仅提及地点名称，未包含任何文化实体描述或具体体验内容，无法体现文旅融合状态。
第四梯队：未形成识别/条件培育型,坐看云起,西樵镇,自然景观,1,1,未形成,0,0,0,,评论仅包含地点名称，缺乏对人物、非遗、空间、历史或地方性文化的具体描述与体验反馈，无法体现文旅融合内容。
第四梯队：未形成识别/条件培育型,多元宝贝世界(龙汇店),大沥镇,休闲娱乐,1,1,未形成,0,0,0,,评论仅包含地点名称，缺乏任何关于地方文化实体、非遗民俗或历史记忆的实质性描述，无法体现文旅融合特征。
第四梯队：未形成识别/条件培育型,大板牙主题乐园,桂城街道,休闲娱乐,1,1,未形成,0,0,0,,评论仅提及地点名称，未包含任何人物、非遗、空间、历史或地方性文化实体，无法体现文旅融合内容。
第四梯队：未形成识别/条件培育型,天后宫,丹灶镇,宗教场所,1,1,未形成,0,0,0,,评论仅提及地点名称，缺乏对信俗、建筑或历史的具体描述，未体现文旅融合内容。
第四梯队：未形成识别/条件培育型,少林寺,西樵镇,宗教场所,1,1,未形成,0,0,0,,评论仅包含地点名称，缺乏对人物、非遗、空间内涵或历史记忆的具体描述，无法体现文旅融合内容。
第四梯队：未形成识别/条件培育型,展旗楼,里水镇,人文古迹,1,1,未形成,0,0,0,,评论仅提及地点名称，缺乏对人物、非遗、历史或地方性文化的具体描述与体验反馈，无法体现文旅融合内容。
第四梯队：未形成识别/条件培育型,广东南海金沙岛国家湿地公园,丹灶镇,公园绿地,1,1,未形成,0,0,0,,评论仅复述地点名称，未包含任何人物、非遗、空间、历史或地方性文化实体的具体描述与体验。
第四梯队：未形成识别/条件培育型,广东省非物质文化遗产佛山咏春拳东二义咏堂,桂城街道,非遗体验,1,1,未形成,0,0,0,,评论仅复述地点名称作为标题或标签，缺乏游客对文化内容、体验过程或历史背景的实际描述，无法构成有效的文旅融合语义识别。
第四梯队：未形成识别/条件培育型,康有为博物馆,丹灶镇,文化场馆,1,1,未形成,0,0,0,,评论仅提及地点名称，缺乏对人物、历史或文化内容的具体描述，无法体现文旅融合状态。
第四梯队：未形成识别/条件培育型,摩天轮,丹灶镇,休闲娱乐,1,1,未形成,0,0,0,,评论仅提及设施名称，未包含任何人物、非遗、空间、历史或地方性文化内容，无法体现文旅融合。
第四梯队：未形成识别/条件培育型,枫林白塔,西樵镇,自然景观,1,1,未形成,0,0,0,,评论仅陈述地理位置归属，未涉及任何人物、非遗、历史记忆或岭南地方性文化内容，缺乏文旅融合的文化识别要素。
第四梯队：未形成识别/条件培育型,樵山文化中心C区,西樵镇,文化场馆,1,1,未形成,0,0,0,,评论仅包含地点名称复述，未涉及任何具体文化实体、体验内容或地方性认知，无法体现文旅融合状态。
第四梯队：未形成识别/条件培育型,欢乐沙滩,丹灶镇,自然景观,1,1,未形成,0,0,0,,评论仅包含地点名称，缺乏任何文化实体描述或体验细节，无法体现文旅融合特征。
第四梯队：未形成识别/条件培育型,西华寺,里水镇,宗教场所,1,1,未形成,0,0,0,,评论仅包含地点名称，缺乏对宗教文化、建筑特色或历史背景的任何描述，无法体现文旅融合内容。
第四梯队：未形成识别/条件培育型,西樵山宝峰寺-观景平台,西樵镇,宗教场所,1,1,未形成,0,0,0,,评论仅包含地点名称，缺乏任何关于文化实体、体验活动或地方性内容的描述，无法体现文旅融合状态。
第四梯队：未形成识别/条件培育型,西樵山风景名胜区-观音庙,西樵镇,宗教场所,1,1,未形成,0,0,0,,评论仅包含地点名称，缺乏对宗教文化、建筑空间或信仰体验的具体描述，无法识别文旅融合内容。
第四梯队：未形成识别/条件培育型,西樵香云纱丝绸博物馆,西樵镇,文化场馆,1,1,未形成,0,0,0,,评论仅复述地点名称，未包含任何具体的文化实体描述、体验过程或情感评价，无法体现文旅融合状态。
第四梯队：未形成识别/条件培育型,陈氏大宗祠,里水镇,人文古迹,1,1,未形成,0,0,0,,评论仅提及地点名称，缺乏对文化实体、历史内涵或体验活动的具体描述，无法体现文旅融合状态。
第四梯队：未形成识别/条件培育型,陈氏祠堂,狮山镇,人文古迹,1,1,未形成,0,0,0,,评论仅包含地点名称，缺乏对文化实体、历史内涵或体验活动的具体描述，无法体现文旅融合状态。
第四梯队：未形成识别/条件培育型,霍氏宗祠,丹灶镇,人文古迹,1,1,未形成,0,0,0,,评论仅包含地点名称，缺乏对人物、历史、建筑细节或文化体验的任何描述，无法体现文旅融合状态。
第四梯队：未形成识别/条件培育型,高铁公园,桂城街道,公园绿地,1,1,未形成,0,0,0,,评论仅提及地点名称，缺乏任何文化实体描述或深度体验内容，无法体现文旅融合特征。
第四梯队：未形成识别/条件培育型,黄飞鸿狮艺武术馆-表演台,西樵镇,非遗体验,1,1,未形成,0,0,0,,评论仅复述地点名称，未包含任何具体的文化实体描述、体验过程或情感评价，无法体现文旅融合状态。
