source,target,relation,weight
南海,和顺,共现关联,3.0
二年,南海县,共现关联,3.0
珠江,龙舟,共现关联,3.0
康有为,晚年,共现关联,3.0
南海,詹天佑,共现关联,3.0
十年,黄飞鸿,共现关联,3.0
六年,道光,共现关联,3.0
八年,道光,共现关联,3.0
七年,道光,共现关联,3.0
文艺,粤剧,共现关联,3.0
农村,广东,共现关联,3.0
佛山,博物馆,共现关联,3.0
佛山,祠堂,共现关联,3.0
七年,佛山,共现关联,3.0
十年,广东,共现关联,3.0
七年,广州,共现关联,3.0
二年,进士,共现关联,3.0
南海,国画,共现关联,3.0
周年,康有为,共现关联,3.0
五年,道光,共现关联,3.0
五年,六年,共现关联,3.0
北江,西江,共现关联,3.0
佛山,八年,共现关联,3.0
书院,佛山,共现关联,3.0
佛山市,佛市,共现关联,3.0
南海,城市,共现关联,3.0
书画,广州,共现关联,3.0
三年,民国,共现关联,3.0
三年,四年,共现关联,3.0
三年,二年,共现关联,3.0
明代,清代,共现关联,3.0
国画,岭南,共现关联,3.0
二年,广州,共现关联,3.0
南海,时代,共现关联,3.0
广东,纺织,共现关联,3.0
南海县,康有为,共现关联,3.0
南海,博物馆,共现关联,3.0
和顺,官窑,共现关联,3.0
元年,南海,共现关联,3.0
广东,清代,共现关联,3.0
光绪,广东,共现关联,3.0
七年,进士,共现关联,3.0
图书馆,广东,共现关联,3.0
广东,龙舟,共现关联,3.0
先生,朱次琦,共现关联,3.0
尚书,戴鸿慈,共现关联,3.0
一年,同治,共现关联,3.0
南海,道光,共现关联,3.0
二年,道光,共现关联,3.0
一年,二年,共现关联,3.0
乾隆,南海,共现关联,3.0
博物馆,广东,共现关联,3.0
一年,佛山,共现关联,3.0
书馆,广州,共现关联,3.0
九江,草堂,共现关联,3.0
先生,岭南,共现关联,3.0
广州,绘画,共现关联,3.0
进士,道光,共现关联,3.0
国画,绘画,共现关联,3.0
南海县,文艺,共现关联,3.0
南海,近代,共现关联,3.0
南海县,纺织,共现关联,3.0
八年,广州,共现关联,3.0
六年,南海,共现关联,3.0
武术,龙狮,共现关联,3.0
南海,官窑,共现关联,3.0
五年,民国,共现关联,3.0
八年,康有为,共现关联,3.0
先生,詹天佑,共现关联,3.0
广州,黄飞鸿,共现关联,3.0
元年,同治,共现关联,3.0
年间,广东,共现关联,3.0
四年,广州,共现关联,3.0
乡村,佛山,共现关联,3.0
三年,广州,共现关联,3.0
光绪,同治,共现关联,3.0
同治,广东,共现关联,3.0
同治,年间,共现关联,3.0
广州,当年,共现关联,3.0
广州,道光,共现关联,3.0
广东,道光,共现关联,3.0
佛山,平洲,共现关联,3.0
九江,盐步,共现关联,3.0
佛山,当年,共现关联,3.0
十年,广州,共现关联,3.0
民国,铁路,共现关联,3.0
南海,广州市,共现关联,3.0
南海市,文艺,共现关联,3.0
先生,图书馆,共现关联,3.0
南海,进士,共现关联,3.0
南海,陈启沅,共现关联,3.0
举人,光绪,共现关联,3.0
广州,石景宜,共现关联,3.0
博物馆,戴鸿慈,共现关联,3.0
七年,六年,共现关联,3.0
佛山,元年,共现关联,3.0
二年,五年,共现关联,3.0
城市,广州,共现关联,3.0
书馆,佛山市,共现关联,3.0
三年,广东,共现关联,3.0
年间,民国,共现关联,3.0
书院,南海,共现关联,3.0
南海,现代,共现关联,3.0
南海,石景宜,共现关联,3.0
医院,广州,共现关联,3.0
现代,粤剧,共现关联,3.0
时代,青年,共现关联,3.0
南海,西江,共现关联,3.0
佛山市,郊区,共现关联,3.0
平洲,盐步,共现关联,3.0
七年,康有为,共现关联,3.0
南海县,西樵山,共现关联,3.0
南海,里水镇,共现关联,3.0
九江,南海县,共现关联,3.0
先生,我县,共现关联,3.0
先生,梁启超,共现关联,3.0
五年,同治,共现关联,3.0
先生,道光,共现关联,3.0
二年,八年,共现关联,3.0
二年,民国,共现关联,3.0
南海,明代,共现关联,3.0
南海,祠堂,共现关联,3.0
先生,光绪,共现关联,3.0
书画,岭南,共现关联,3.0
年代,广州,共现关联,3.0
一年,广州,共现关联,3.0
佛山,国画,共现关联,3.0
佛市,广东,共现关联,3.0
公路,南海,共现关联,3.0
南海县,珠江,共现关联,3.0
广州,草堂,共现关联,3.0
八年,民国,共现关联,3.0
书院,西樵山,共现关联,3.0
戴鸿慈,清朝,共现关联,3.0
六年,同治,共现关联,2.8
七年,同治,共现关联,2.8
一年,五年,共现关联,2.8
书馆,博物馆,共现关联,2.8
南海县,年间,共现关联,2.8
佛山,时代,共现关联,2.8
七年,先生,共现关联,2.8
南海,清代,共现关联,2.8
城市,现代,共现关联,2.8
医院,广东,共现关联,2.8
工艺,陶瓷,共现关联,2.8
医院,南海,共现关联,2.8
书馆,石景宜,共现关联,2.8
五年,广东,共现关联,2.8
五年,南海县,共现关联,2.8
三年,康有为,共现关联,2.8
一年,广东,共现关联,2.8
南海市,周年,共现关联,2.8
康有为,西樵山,共现关联,2.8
九江,朱次琦,共现关联,2.8
年代,黄飞鸿,共现关联,2.8
三年,道光,共现关联,2.6
乾隆,四年,共现关联,2.6
一年,道光,共现关联,2.6
九江,道光,共现关联,2.6
一年,三年,共现关联,2.6
佛山,北江,共现关联,2.6
十年,民国,共现关联,2.6
岭南,明代,共现关联,2.6
佛山,宗祠,共现关联,2.6
年间,清代,共现关联,2.6
书院,学堂,共现关联,2.6
岭南,珠江,共现关联,2.6
岭南,武术,共现关联,2.6
广东,西樵山,共现关联,2.6
举人,同治,共现关联,2.6
南海,绘画,共现关联,2.6
孙中山,广东,共现关联,2.6
孙中山,民国,共现关联,2.6
博物馆,广州,共现关联,2.6
佛山,技艺,共现关联,2.6
书画,绘画,共现关联,2.6
元年,广州,共现关联,2.6
光绪,清朝,共现关联,2.6
孙中山,铁路,共现关联,2.6
南海,多年,共现关联,2.6
先生,铁路,共现关联,2.6
孙中山,康有为,共现关联,2.6
城区,民乐,共现关联,2.6
丝织,南海县,共现关联,2.6
六年,广州,共现关联,2.6
图书馆,广州,共现关联,2.6
八年,南海县,共现关联,2.6
云泉仙馆,西樵山,共现关联,2.6
广东,詹天佑,共现关联,2.6
先生,黄飞鸿,共现关联,2.6
同治,道光,共现关联,2.4
元年,道光,共现关联,2.4
三年,五年,共现关联,2.4
乾隆,十年,共现关联,2.4
一年,七年,共现关联,2.4
七年,三年,共现关联,2.4
佛市,博物馆,共现关联,2.4
一年,南海县,共现关联,2.4
九江,书院,共现关联,2.4
学堂,广东,共现关联,2.4
丝织,佛山,共现关联,2.4
图书馆,石景宜,共现关联,2.4
文艺,歌曲,共现关联,2.4
同治,广州,共现关联,2.4
四年,广东,共现关联,2.4
光绪,道光,共现关联,2.4
公路,铁路,共现关联,2.4
丝织,纺织,共现关联,2.4
七年,八年,共现关联,2.4
北江,南海,共现关联,2.4
北江,广州,共现关联,2.4
官山,广州,共现关联,2.4
农村,广州,共现关联,2.4
官山,广东,共现关联,2.4
丝织,官山,共现关联,2.4
南海,清朝,共现关联,2.4
七年,南海县,共现关联,2.4
岭南,黄少强,共现关联,2.4
南海县,武术,共现关联,2.4
五年,纺织,共现关联,2.4
一年,康有为,共现关联,2.4
先生,南海市,共现关联,2.4
广东,黄飞鸿,共现关联,2.4
三年,九江,共现关联,2.2
二年,六年,共现关联,2.2
一年,十年,共现关联,2.2
佛山,进士,共现关联,2.2
民国,清代,共现关联,2.2
光绪,南海县,共现关联,2.2
四年,年间,共现关联,2.2
佛山市,广州,共现关联,2.2
九江,岭南,共现关联,2.2
年代,武术,共现关联,2.2
佛山,南海市,共现关联,2.2
广东,粤曲,共现关联,2.2
广州,武术,共现关联,2.2
年代,粤剧,共现关联,2.2
国画,广州,共现关联,2.2
城区,年代,共现关联,2.2
四年,进士,共现关联,2.2
三年,进士,共现关联,2.2
书院,道光,共现关联,2.2
南海县,平洲,共现关联,2.2
平洲,罗村,共现关联,2.2
五年,十年,共现关联,2.2
康有为,清朝,共现关联,2.2
书院,康有为,共现关联,2.2
九江,南海市,共现关联,2.2
农村,南海县,共现关联,2.2
九江,周年,共现关联,2.2
九江镇,南海,共现关联,2.2
康有为,时代,共现关联,2.2
九江,五年,共现关联,2.2
南海县,陈启沅,共现关联,2.2
年间,康有为,共现关联,2.2
广东,龙狮,共现关联,2.2
广东,陈启沅,共现关联,2.2
近代,陈启沅,共现关联,2.2
三年,十年,共现关联,2.2
三年,年间,共现关联,2.2
年间,清朝,共现关联,2.2
先生,十年,共现关联,2.2
南海,戴鸿慈,共现关联,2.2
光绪,戴鸿慈,共现关联,2.2
光绪,铁路,共现关联,2.2
同治,四年,共现关联,2.0
佛山,六年,共现关联,2.0
一年,八年,共现关联,2.0
十年,同治,共现关联,2.0
五年,四年,共现关联,2.0
广州,近代,共现关联,2.0
先生,年代,共现关联,2.0
光绪,清代,共现关联,2.0
年间,明代,共现关联,2.0
南海,祖庙,共现关联,2.0
尚书,进士,共现关联,2.0
佛山,石景宜,共现关联,2.0
先生,草堂,共现关联,2.0
六年,广东,共现关联,2.0
技艺,武术,共现关联,2.0
岭南,现代,共现关联,2.0
粤剧,粤曲,共现关联,2.0
工艺,现代,共现关联,2.0
时代,绘画,共现关联,2.0
七年,广东,共现关联,2.0
绘画,黄少强,共现关联,2.0
二年,广东,共现关联,2.0
十年,进士,共现关联,2.0
城市,广东,共现关联,2.0
十年,南海县,共现关联,2.0
佛山市,城区,共现关联,2.0
书院,年间,共现关联,2.0
先生,时代,共现关联,2.0
南海,大沥镇,共现关联,2.0
南海,粤曲,共现关联,2.0
九江,城区,共现关联,2.0
南海,梁启超,共现关联,2.0
南海县,图书馆,共现关联,2.0
和顺,平洲,共现关联,2.0
城区,官山,共现关联,2.0
举人,南海,共现关联,2.0
广东,进士,共现关联,2.0
博物馆,近代,共现关联,2.0
先生,龙舟,共现关联,2.0
盐步,龙舟,共现关联,2.0
举人,康有为,共现关联,2.0
六年,康有为,共现关联,2.0
龙狮,龙舟,共现关联,2.0
九江,我县,共现关联,2.0
南海,朱次琦,共现关联,2.0
官窑,盐步,共现关联,2.0
广东,石景宜,共现关联,2.0
周年,詹天佑,共现关联,2.0
学堂,梁启超,共现关联,2.0
八年,同治,共现关联,1.8
七年,二年,共现关联,1.8
三年,八年,共现关联,1.8
二年,元年,共现关联,1.8
广州,现代,共现关联,1.8
五年,年间,共现关联,1.8
佛山,尚书,共现关联,1.8
乾隆,广东,共现关联,1.8
民国,祖庙,共现关联,1.8
七年,年间,共现关联,1.8
乡村,城市,共现关联,1.8
乡村,广东,共现关联,1.8
书院,广东,共现关联,1.8
明代,绘画,共现关联,1.8
宗祠,祠堂,共现关联,1.8
书画,康有为,共现关联,1.8
岭南,年代,共现关联,1.8
国画,文艺,共现关联,1.8
广东,时代,共现关联,1.8
城市,文艺,共现关联,1.8
佛山,歌曲,共现关联,1.8
先生,民国,共现关联,1.8
佛山市,民国,共现关联,1.8
工艺,纺织,共现关联,1.8
南海,郊区,共现关联,1.8
三年,南海县,共现关联,1.8
南海,武馆,共现关联,1.8
南海,铁路,共现关联,1.8
文艺,青年,共现关联,1.8
佛山,官山,共现关联,1.8
北江,广东,共现关联,1.8
书画,国画,共现关联,1.8
广东,梁启超,共现关联,1.8
周年,国画,共现关联,1.8
南海,我县,共现关联,1.8
九江,和顺,共现关联,1.8
官山,青年,共现关联,1.8
民乐,民国,共现关联,1.8
乡村,官山,共现关联,1.8
九江,年间,共现关联,1.8
南海,技艺,共现关联,1.8
同治,进士,共现关联,1.8
四年,康有为,共现关联,1.8
丝织,五年,共现关联,1.8
南海县,四年,共现关联,1.8
元年,光绪,共现关联,1.8
戴鸿慈,近代,共现关联,1.8
五年,八年,共现关联,1.6
乾隆,六年,共现关联,1.6
乾隆,道光,共现关联,1.6
一年,九江,共现关联,1.6
二年,四年,共现关联,1.6
广州,郊区,共现关联,1.6
工艺,木雕,共现关联,1.6
珠江,祖庙,共现关联,1.6
尚书,明代,共现关联,1.6
清代,祖庙,共现关联,1.6
岭南,祖庙,共现关联,1.6
先生,年间,共现关联,1.6
七年,书院,共现关联,1.6
书院,四年,共现关联,1.6
光绪,学堂,共现关联,1.6
博物馆,图书馆,共现关联,1.6
五年,进士,共现关联,1.6
工艺,广州,共现关联,1.6
广州,范围,共现关联,1.6
丝织,广东,共现关联,1.6
博物馆,康有为,共现关联,1.6
南海县,盐步,共现关联,1.6
平洲,广东,共现关联,1.6
广州市,粤剧,共现关联,1.6
民国,绘画,共现关联,1.6
先生,绘画,共现关联,1.6
举人,六年,共现关联,1.6
六年,进士,共现关联,1.6
一年,举人,共现关联,1.6
南海,尚书,共现关联,1.6
城区,广州,共现关联,1.6
农村,城市,共现关联,1.6
三年,佛山市,共现关联,1.6
九江,农村,共现关联,1.6
城区,郊区,共现关联,1.6
佛山,周年,共现关联,1.6
清朝,道光,共现关联,1.6
民国,清朝,共现关联,1.6
书画,文艺,共现关联,1.6
广州,纺织,共现关联,1.6
南海县,范围,共现关联,1.6
二年,康有为,共现关联,1.6
举人,广东,共现关联,1.6
南海市,图书馆,共现关联,1.6
南海,学堂,共现关联,1.6
九江,光绪,共现关联,1.6
九江,民乐,共现关联,1.6
梁启超,清代,共现关联,1.6
一年,先生,共现关联,1.6
范围,龙舟,共现关联,1.6
平洲,武术,共现关联,1.6
一年,民国,共现关联,1.6
十年,岭南,共现关联,1.6
九江,官窑,共现关联,1.6
七年,丝织,共现关联,1.6
南海县,当年,共现关联,1.6
官窑,平洲,共现关联,1.6
南海县,龙舟,共现关联,1.6
七年,乾隆,共现关联,1.4
七年,五年,共现关联,1.4
八年,十年,共现关联,1.4
二年,十年,共现关联,1.4
城市,珠江,共现关联,1.4
广东,祖庙,共现关联,1.4
四年,祖庙,共现关联,1.4
广东,范围,共现关联,1.4
光绪,木雕,共现关联,1.4
乾隆,民国,共现关联,1.4
乾隆,清代,共现关联,1.4
乾隆,二年,共现关联,1.4
五年,木雕,共现关联,1.4
工艺,年代,共现关联,1.4
清代,道光,共现关联,1.4
年间,广州,共现关联,1.4
先生,六年,共现关联,1.4
书院,乾隆,共现关联,1.4
佛山,多年,共现关联,1.4
佛山,近代,共现关联,1.4
广州,明代,共现关联,1.4
书院,南海县,共现关联,1.4
广东,晚年,共现关联,1.4
八年,进士,共现关联,1.4
书院,岭南,共现关联,1.4
广州,晚年,共现关联,1.4
先生,八年,共现关联,1.4
广州,武馆,共现关联,1.4
武术,武馆,共现关联,1.4
学堂,广州,共现关联,1.4
广东,技艺,共现关联,1.4
书馆,周年,共现关联,1.4
先生,晚年,共现关联,1.4
平洲,广州,共现关联,1.4
周年,广州,共现关联,1.4
佛市,城区,共现关联,1.4
佛市,珠江,共现关联,1.4
举人,二年,共现关联,1.4
岭南,民国,共现关联,1.4
先生,四年,共现关联,1.4
举人,十年,共现关联,1.4
佛山市,城市,共现关联,1.4
佛山市,农村,共现关联,1.4
纺织,陶瓷,共现关联,1.4
书院,二年,共现关联,1.4
佛山,西江,共现关联,1.4
元年,进士,共现关联,1.4
佛山,清朝,共现关联,1.4
年代,青年,共现关联,1.4
佛山市,珠江,共现关联,1.4
现代,珠江,共现关联,1.4
佛山市,文艺,共现关联,1.4
公路,民国,共现关联,1.4
丝织,民国,共现关联,1.4
三年,铁路,共现关联,1.4
南海县,年代,共现关联,1.4
十年,四年,共现关联,1.4
南海县,青年,共现关联,1.4
南海县,周年,共现关联,1.4
南海市,康有为,共现关联,1.4
南海,黄少强,共现关联,1.4
盐步,罗村,共现关联,1.4
南海县,石景宜,共现关联,1.4
先生,西樵山,共现关联,1.4
广东,民乐,共现关联,1.4
南海县,官山,共现关联,1.4
民乐,纺织,共现关联,1.4
八年,六年,共现关联,1.4
丝织,四年,共现关联,1.4
丝织,工艺,共现关联,1.4
同治,陈启沅,共现关联,1.4
书院,先生,共现关联,1.4
先生,近代,共现关联,1.4
南海,宗祠,共现关联,1.4
古村,龙舟,共现关联,1.4
佛山,龙舟,共现关联,1.4
珠江,西樵山,共现关联,1.4
二年,先生,共现关联,1.4
南海县,官窑,共现关联,1.4
南海县,道光,共现关联,1.4
官窑,广州,共现关联,1.4
丝织,八年,共现关联,1.4
我县,西樵山,共现关联,1.4
广东,朱次琦,共现关联,1.4
八年,四年,共现关联,1.4
梁启超,草堂,共现关联,1.4
三年,先生,共现关联,1.4
先生,多年,共现关联,1.4
南海县,大沥镇,共现关联,1.4
二年,戴鸿慈,共现关联,1.4
南海市,詹天佑,共现关联,1.4
广州,詹天佑,共现关联,1.4
九江,乾隆,共现关联,1.2
一年,乾隆,共现关联,1.2
九江,八年,共现关联,1.2
一年,六年,共现关联,1.2
南海,草堂,共现关联,1.2
农村,青年,共现关联,1.2
书馆,佛市,共现关联,1.2
四年,明代,共现关联,1.2
元年,广东,共现关联,1.2
南海县,祖庙,共现关联,1.2
年间,祖庙,共现关联,1.2
民国,道光,共现关联,1.2
广州,清代,共现关联,1.2
年代,珠江,共现关联,1.2
城市,清代,共现关联,1.2
城市,祖庙,共现关联,1.2
佛山,同治,共现关联,1.2
年间,进士,共现关联,1.2
武术,粤剧,共现关联,1.2
近代,铁路,共现关联,1.2
南海,孙中山,共现关联,1.2
佛山,孙中山,共现关联,1.2
一年,进士,共现关联,1.2
佛山,武馆,共现关联,1.2
广东,清朝,共现关联,1.2
年代,年间,共现关联,1.2
广州,陶瓷,共现关联,1.2
佛山市,医院,共现关联,1.2
广州,时代,共现关联,1.2
国画,现代,共现关联,1.2
书画,周年,共现关联,1.2
清代,绘画,共现关联,1.2
书院,进士,共现关联,1.2
城区,民国,共现关联,1.2
佛山市,年代,共现关联,1.2
七年,举人,共现关联,1.2
农村,郊区,共现关联,1.2
公路,广州,共现关联,1.2
城区,平洲,共现关联,1.2
北江,珠江,共现关联,1.2
农村,年代,共现关联,1.2
医院,南海县,共现关联,1.2
南海,陶瓷,共现关联,1.2
书院,孙中山,共现关联,1.2
光绪,尚书,共现关联,1.2
尚书,康有为,共现关联,1.2
举人,五年,共现关联,1.2
民国,近代,共现关联,1.2
广州市,文艺,共现关联,1.2
广东,盐步,共现关联,1.2
书馆,现代,共现关联,1.2
年代,龙舟,共现关联,1.2
佛山市,南海市,共现关联,1.2
九江,罗村,共现关联,1.2
祠堂,西樵山,共现关联,1.2
北江,官山,共现关联,1.2
九江,二年,共现关联,1.2
官山,纺织,共现关联,1.2
民国,纺织,共现关联,1.2
二年,陈启沅,共现关联,1.2
南海县,清代,共现关联,1.2
广州,盐步,共现关联,1.2
岭南,西樵山,共现关联,1.2
九江,明代,共现关联,1.2
佛山,盐步,共现关联,1.2
乡村,祠堂,共现关联,1.2
九江,十年,共现关联,1.2
古村,岭南,共现关联,1.2
南海市,龙舟,共现关联,1.2
广州,龙狮,共现关联,1.2
多年,珠江,共现关联,1.2
六年,年间,共现关联,1.2
七年,九江,共现关联,1.2
五年,康有为,共现关联,1.2
广州,罗村,共现关联,1.2
南海县,清朝,共现关联,1.2
十年,康有为,共现关联,1.2
朱次琦,草堂,共现关联,1.2
朱次琦,道光,共现关联,1.2
学堂,康有为,共现关联,1.2
书院,医院,共现关联,1.2
佛山市,石景宜,共现关联,1.2
一年,铁路,共现关联,1.2
南海县,詹天佑,共现关联,1.2
孙中山,詹天佑,共现关联,1.2
西樵山,黄飞鸿,共现关联,1.2
武馆,黄飞鸿,共现关联,1.2
乾隆,八年,共现关联,1.0
九江,四年,共现关联,1.0
七年,四年,共现关联,1.0
乡村,农村,共现关联,1.0
书馆,清代,共现关联,1.0
祖庙,道光,共现关联,1.0
技艺,木雕,共现关联,1.0
光绪,祖庙,共现关联,1.0
祖庙,祠堂,共现关联,1.0
珠江,范围,共现关联,1.0
南海县,同治,共现关联,1.0
举人,佛山,共现关联,1.0
民国,祠堂,共现关联,1.0
南海,木雕,共现关联,1.0
先生,清代,共现关联,1.0
乡村,岭南,共现关联,1.0
城市,岭南,共现关联,1.0
佛山市,祖庙,共现关联,1.0
先生,粤剧,共现关联,1.0
先生,明代,共现关联,1.0
佛山,康有为,共现关联,1.0
岭南,清代,共现关联,1.0
乾隆,广州,共现关联,1.0
南海县,城区,共现关联,1.0
尚书,广东,共现关联,1.0
岭南,康有为,共现关联,1.0
先生,尚书,共现关联,1.0
广东,草堂,共现关联,1.0
现代,陶瓷,共现关联,1.0
官山,年代,共现关联,1.0
广东,陶瓷,共现关联,1.0
佛山,图书馆,共现关联,1.0
岭南,时代,共现关联,1.0
国画,时代,共现关联,1.0
举人,元年,共现关联,1.0
公路,城区,共现关联,1.0
乾隆,进士,共现关联,1.0
武馆,民国,共现关联,1.0
乡村,南海县,共现关联,1.0
丝织,广州,共现关联,1.0
九江,官山,共现关联,1.0
佛山,广州市,共现关联,1.0
南海县,罗村,共现关联,1.0
元年,南海县,共现关联,1.0
佛山市,范围,共现关联,1.0
佛山,民乐,共现关联,1.0
佛山,罗村,共现关联,1.0
九江,民国,共现关联,1.0
佛山市,先生,共现关联,1.0
三年,清朝,共现关联,1.0
南海县,广州市,共现关联,1.0
广州,西江,共现关联,1.0
农村,粤剧,共现关联,1.0
岭南,木雕,共现关联,1.0
文艺,珠江,共现关联,1.0
书画,南海县,共现关联,1.0
南海市,博物馆,共现关联,1.0
九江,医院,共现关联,1.0
广州,西樵山,共现关联,1.0
南海市,珠江,共现关联,1.0
九江,粤剧,共现关联,1.0
先生,当年,共现关联,1.0
九江,歌曲,共现关联,1.0
佛市,歌曲,共现关联,1.0
九江,纺织,共现关联,1.0
康有为,清代,共现关联,1.0
举人,四年,共现关联,1.0
农村,民乐,共现关联,1.0
现代,纺织,共现关联,1.0
农村,武术,共现关联,1.0
农村,龙舟,共现关联,1.0
官山,民国,共现关联,1.0
官山,西樵山,共现关联,1.0
五年,民乐,共现关联,1.0
丝织,乡村,共现关联,1.0
丝织,年代,共现关联,1.0
四年,民乐,共现关联,1.0
乡村,纺织,共现关联,1.0
明代,西樵山,共现关联,1.0
先生,现代,共现关联,1.0
先生,青年,共现关联,1.0
南海,晚年,共现关联,1.0
当年,草堂,共现关联,1.0
举人,梁启超,共现关联,1.0
书画,青年,共现关联,1.0
乡村,武术,共现关联,1.0
尚书,西樵山,共现关联,1.0
六年,南海县,共现关联,1.0
二年,年间,共现关联,1.0
南海县,博物馆,共现关联,1.0
二年,尚书,共现关联,1.0
一年,我县,共现关联,1.0
广州,黄少强,共现关联,1.0
先生,进士,共现关联,1.0
六年,铁路,共现关联,1.0
多年,武术,共现关联,1.0
九江镇,先生,共现关联,1.0
九江镇,南海市,共现关联,1.0
农村,我县,共现关联,1.0
佛山,我县,共现关联,1.0
佛山,黄飞鸿,共现关联,1.0
时代,黄飞鸿,共现关联,1.0
时代,西樵山,共现关联,1.0
先生,同治,共现关联,0.8
三年,乾隆,共现关联,0.8
一年,朱次琦,共现关联,0.8
五年,元年,共现关联,0.8
一年,四年,共现关联,0.8
六年,四年,共现关联,0.8
孙中山,清朝,共现关联,0.8
先生,清朝,共现关联,0.8
祖庙,范围,共现关联,0.8
城区,广东,共现关联,0.8
多年,年间,共现关联,0.8
城区,岭南,共现关联,0.8
三年,年代,共现关联,0.8
乾隆,五年,共现关联,0.8
乾隆,祖庙,共现关联,0.8
珠江,祠堂,共现关联,0.8
明代,民国,共现关联,0.8
木雕,民国,共现关联,0.8
岭南,工艺,共现关联,0.8
时代,范围,共现关联,0.8
时代,珠江,共现关联,0.8
书院,清代,共现关联,0.8
佛市,广州,共现关联,0.8
宗祠,岭南,共现关联,0.8
宗祠,明代,共现关联,0.8
书院,光绪,共现关联,0.8
岭南,年间,共现关联,0.8
先生,医院,共现关联,0.8
书院,草堂,共现关联,0.8
先生,武术,共现关联,0.8
书院,明代,共现关联,0.8
宗祠,广东,共现关联,0.8
书院,宗祠,共现关联,0.8
书画,书院,共现关联,0.8
举人,八年,共现关联,0.8
光绪,草堂,共现关联,0.8
年代,陶瓷,共现关联,0.8
佛山,粤曲,共现关联,0.8
广东,当年,共现关联,0.8
国画,当年,共现关联,0.8
岭南,技艺,共现关联,0.8
现代,青年,共现关联,0.8
一年,珠江,共现关联,0.8
农村,范围,共现关联,0.8
平洲,粤剧,共现关联,0.8
周年,歌曲,共现关联,0.8
技艺,粤剧,共现关联,0.8
多年,粤剧,共现关联,0.8
书画,书馆,共现关联,0.8
广东,歌曲,共现关联,0.8
年代,现代,共现关联,0.8
时代,现代,共现关联,0.8
佛山市,图书馆,共现关联,0.8
博物馆,绘画,共现关联,0.8
书画,清代,共现关联,0.8
三年,举人,共现关联,0.8
乾隆,绘画,共现关联,0.8
光绪,民国,共现关联,0.8
年代,绘画,共现关联,0.8
先生,博物馆,共现关联,0.8
佛山市,清代,共现关联,0.8
珠江,纺织,共现关联,0.8
佛市,城市,共现关联,0.8
七年,尚书,共现关联,0.8
七年,十年,共现关联,0.8
书院,同治,共现关联,0.8
明代,木雕,共现关联,0.8
农村,珠江,共现关联,0.8
多年,广东,共现关联,0.8
城区,范围,共现关联,0.8
范围,郊区,共现关联,0.8
广东,西江,共现关联,0.8
南海县,民乐,共现关联,0.8
城区,珠江,共现关联,0.8
珠江,西江,共现关联,0.8
佛山市,纺织,共现关联,0.8
乡村,郊区,共现关联,0.8
年代,郊区,共现关联,0.8
年代,民国,共现关联,0.8
公路,广东,共现关联,0.8
九江,公路,共现关联,0.8
城市,郊区,共现关联,0.8
城市,范围,共现关联,0.8
佛山,和顺,共现关联,0.8
先生,城市,共现关联,0.8
康有为,民国,共现关联,0.8
七年,清朝,共现关联,0.8
八年,年间,共现关联,0.8
粤剧,龙舟,共现关联,0.8
康有为,铁路,共现关联,0.8
现代,祠堂,共现关联,0.8
岭南,龙舟,共现关联,0.8
九江,书馆,共现关联,0.8
城区,文艺,共现关联,0.8
九江,文艺,共现关联,0.8
南海县,学堂,共现关联,0.8
书院,书馆,共现关联,0.8
当年,西江,共现关联,0.8
和顺,罗村,共现关联,0.8
先生,黄少强,共现关联,0.8
南海市,广州,共现关联,0.8
平洲,文艺,共现关联,0.8
九江,北江,共现关联,0.8
书馆,范围,共现关联,0.8
乡村,书馆,共现关联,0.8
民国,西樵山,共现关联,0.8
同治,近代,共现关联,0.8
书院,官山,共现关联,0.8
九江,西樵山,共现关联,0.8
公路,民乐,共现关联,0.8
乡村,民国,共现关联,0.8
公路,官山,共现关联,0.8
九江,近代,共现关联,0.8
珠江,盐步,共现关联,0.8
九江,清代,共现关联,0.8
九江,珠江,共现关联,0.8
现代,绘画,共现关联,0.8
康有为,绘画,共现关联,0.8
武馆,龙狮,共现关联,0.8
年代,龙狮,共现关联,0.8
古村,广东,共现关联,0.8
周年,武术,共现关联,0.8
佛山,龙狮,共现关联,0.8
康有为,龙狮,共现关联,0.8
康有为,青年,共现关联,0.8
古村,宗祠,共现关联,0.8
我县,陈启沅,共现关联,0.8
我县,近代,共现关联,0.8
一年,陈启沅,共现关联,0.8
光绪,陈启沅,共现关联,0.8
丝织,二年,共现关联,0.8
七年,官山,共现关联,0.8
年代,西樵山,共现关联,0.8
十年,西樵山,共现关联,0.8
三年,我县,共现关联,0.8
二年,我县,共现关联,0.8
举人,年间,共现关联,0.8
年代,康有为,共现关联,0.8
官窑,民国,共现关联,0.8
先生,广州市,共现关联,0.8
十年,孙中山,共现关联,0.8
广州,里水镇,共现关联,0.8
广东,戴鸿慈,共现关联,0.8
七年,朱次琦,共现关联,0.8
博物馆,石景宜,共现关联,0.8
佛山市,武术,共现关联,0.8
岭南,青年,共现关联,0.8
十年,青年,共现关联,0.8
多年,石景宜,共现关联,0.8
周年,孙中山,共现关联,0.8
十年,铁路,共现关联,0.8
同治,詹天佑,共现关联,0.8
一年,詹天佑,共现关联,0.8
二年,铁路,共现关联,0.8
元年,铁路,共现关联,0.8
范围,铁路,共现关联,0.8
二年,詹天佑,共现关联,0.8
公路,我县,共现关联,0.8
四年,詹天佑,共现关联,0.8
