source,target,relation,confidence
民国29年,南海县政府,记载于,0.9
中山公园,佛山乐园,同类,0.85
柳堤,群星草堂,位于,0.85
群星草堂,柳堤,承载文化,0.9
祖庙公园,石湾陶塑,承载文化,0.9
木棉树,天后庙,位于,0.9
中山公园,细叶榕,盛产,0.9
佛山镇,清宣统元年,属于时期,0.85
佛山镇,民国14年,属于时期,0.85
佛山镇,民国16年,属于时期,0.85
佛山,民国,记载于,0.9
佛山志,清代,记载于,0.85
佛山志,民国,记载于,0.85
清代,乾隆,属于时期,0.9
文昌沙,佛山志,记载于,0.8
康有为,清代,属于时期,0.85
佛山镇,明代,盛产,0.8
秋色,嘉靖,传承于,0.7
嘉靖,琼花会馆,始建于,0.8
简文会,伦文叙,同族,0.75
简文会,洗宝干,同族,0.75
简文会,李侍问,同族,0.75
琼花会馆,观音诞,发生于,0.9
张五,琼花会馆,活动于,0.85
张五,大基尾,活动于,0.9
张五,琼花会馆,传承于,0.8
琼花会馆,佛山镇,位于,0.9
粤剧,琼花会馆,承载文化,0.9
佛山,粤剧,承载文化,0.85
佛山,禅工粤剧团,活动于,0.9
禅工粤剧团,佛山,属于时期,0.85
禅工粤剧团,南海县,承载文化,0.85
禅工粤剧团,佛山市,承载文化,0.85
万福台,国公庙,同类,0.85
万福台,涌边东园,同类,0.85
万福台,佛山大戏院,同类,0.8
佛山,1958年,承载文化,0.8
佛山,1979年,属于时期,0.85
佛山,1985年,属于时期,0.8
佛山,明清时期,属于时期,0.85
佛山,明清时期,承载文化,0.8
华光神诞,普君圩,发生于,0.7
佛山秋色,清乾隆年间,承载文化,0.9
雍正年间,佛山秋色,承载文化,0.85
民国时期,佛山秋色,承载文化,0.85
佛山秋色,剪纸,同类,0.9
1954年,佛山秋色,发生于,0.85
1956年,佛山秋色,发生于,0.85
1957年,佛山秋色,发生于,0.85
1958年,佛山秋色,发生于,0.85
十番音乐,佛山,盛产,0.8
锣鼓柜,八音班,同类,0.85
八音班,粤剧,同类,0.8
灯谜,佛山市志_下,记载于,0.9
吴荃,龙塘诗社,创建修建,0.9
高剑父,佛山美术学校,创建修建,0.9
市图书馆,永安路永兴街7号,位于,0.9
锦华路,升平,位于,0.85
锦华路,筷子路,位于,0.85
新华书店,佛山市,属于时期,0.75
新华书店,南海县,属于时期,0.75
新华书店,佛山镇,属于时期,0.75
新华书店,福禄路,位于,0.8
新华书店,福宁路,位于,0.8
谢丽生,佛山公园,活动于,0.8
谢丽生,佛山公园,关联人物,0.85
梁展帆,佛山商会,关联人物,0.85
梁展帆,升平路,关联人物,0.9
九江关氏,九江镇,同族,0.95
民国18年,佛山市志,记载于,0.9
嘉会堂,祖庙,关联人物,0.9
大魁堂,祖庙,关联人物,0.9
叶家庄,兆祥黄公祠,承载文化,0.9
兆祥黄公祠,叶家庄,属于时期,0.85
兆祥黄公祠,祖庙,同类,0.8
泥模岗,祖庙,位于,0.9
祖庙,泥模岗,位于,0.9
佛山忠义乡志,黄氏大宗祠,记载于,0.85
黄氏大宗祠,莲花路,位于,0.9
招氏宗祠,东华里,位于,0.9
石碑,塔坡庙,承载文化,0.9
塔坡庙,唐贞观二年,记载于,0.85
塔坡庙,唐贞观二年,属于时期,0.85
塔坡庙,居仁里,关联人物,0.8
古洞街,石湾镇,位于,0.95
嘉庆元年,古洞街,记载于,0.85
佛山市博物馆,孔庙,承载文化,0.9
佛山市博物馆,云泉仙馆,承载文化,0.9
塔坡寺,西樵山,属于时期,0.75
唐贞观二年,塔坡寺,承载文化,0.85
梁九章,佛山梁园,活动于,0.85
筠清馆法帖,佛山博物馆,位于,0.95
三门,前殿,同类,0.85
郭子仪,甘露寺,活动于,0.85
庆真楼,甘露寺,位于,0.9
八仙故事,万福台木雕,承载文化,0.85
黄广华,佛山,活动于,0.85
赵美容,灵应祠,关联人物,0.85
群星草堂,梁九华,关联人物,0.9
梁园,梁需如,关联人物,0.85
梁园,梁九章,关联人物,0.85
梁园,梁九华,关联人物,0.85
梁园,梁九图,关联人物,0.85
梁九华,群星草堂,创建修建,0.95
仁寿寺塔,仁寿寺,属于时期,0.8
石湾制陶,千灯湖,承载文化,0.8
梁园,九江镇,位于,0.9
梁园,李文田故居,位于,0.9
佛山,通济桥,活动于,0.85
佛山市志,陶工,记载于,0.85
康有为,佛山书院,活动于,0.85
佛山书院,佛山学堂,创建修建,0.9
佛山学堂,佛山书院,位于,0.85
季华小学,佛山,位于,0.85
华英中学,华英,关联人物,0.9
华英中学,佛山市志_下,记载于,0.85
华英中学,民国,属于时期,0.9
华英中学,民国,活动于,0.8
华英中学,佛山,位于,0.9
佛山一中,文化大革命,发生于,0.9
佛山一中,党的十一届三中全会,发生于,0.9
佛山一中,佛山市志,记载于,0.85
法国,佛山,盛产,0.8
行仁堂,佛山,位于,0.9
行仁堂,佛山,属于时期,0.9
佛山忠义乡志,民国,记载于,0.9
西医院,太平坊,位于,0.85
西医院,文昌沙,位于,0.85
西医院,佛山市志,记载于,0.8
万善堂,永兴街,位于,0.9
万善堂,长兴街,位于,0.9
咏春拳,鸿胜武馆,承载文化,0.8
佛山精武体育会,鹰爪,承载文化,0.9
佛山精武体育会,星螂,承载文化,0.9
佛山精武体育会,太极拳,承载文化,0.9
佛山元甲女校,佛山精武体育会,传承于,0.85
简氏别墅,灰塑,承载文化,0.8
简氏别墅,石湾陶塑,承载文化,0.8
公园,九江双蒸酿制技艺,承载文化,0.9
生菜会,舞狮,传承于,0.8
公园,粤剧,承载文化,0.9
饮春敬,甘蔗,承载文化,0.9
饮春敬,生菜,承载文化,0.9
人日,佛山忠义乡志,记载于,0.9
元宵节,佛山忠义乡志,记载于,0.9
祭月,中秋节,承载文化,0.9
祭月,月饼,承载文化,0.9
中秋节,佛山,盛产,0.85
月饼,佛山,盛产,0.85
祭月,月饼,同类,0.75
祖庙,北帝神诞,承载文化,0.85
北帝神诞,北帝,承载文化,0.9
北帝神诞,祖庙,承载文化,0.85
华光庙,福禄路,位于,0.85
佛山人,佛山,属于时期,0.9
佛山人,佛山,同类,0.85
利市,佛山,属于时期,0.7
佛山,祭日球月,承载文化,0.85
万真观,云泉仙馆,位于,0.8
清水池,万真观,位于,0.85
万真观,玉泉仙馆,承载文化,0.9
万真观,佛山,位于,0.8
城隆殿,万真观,属于时期,0.9
城隆砍,万真观,属于时期,0.9
城隆殿,佛山,位于,0.8
万真观,城隆殿,承载文化,0.75
万真观,城隆砍,承载文化,0.75
佛教,佛山,承载文化,0.8
塔坡岗,塔坡寺,位于,0.9
塔坡寺,仁寿寺,同类,0.8
塔坡寺,丰宁寺,同类,0.8
仁寿寺,佛山涌,位于,0.9
仁寿寺,文华里,位于,0.9
潘玉书,石湾陶塑,承载文化,0.85
仁寿寺,民国,活动于,0.85
仁寿寺,佛山民间艺术社,承载文化,0.9
天主堂,草尾,位于,0.9
走马路,福贤布道堂,位于,0.8
薛冠霖,广州,活动于,0.9
广州,三佛齐,承载文化,0.9
泉州,三佛齐,承载文化,0.9
梁道明,三佛齐,活动于,0.9
张荫桓,光绪,活动于,0.9
简照南,南洋兄弟烟草公司,创建修建,0.9
简玉阶,南洋兄弟烟草公司,创建修建,0.9
南洋兄弟烟草公司,光绪三十年,属于时期,0.85
甘和茶,格沙村,承载文化,0.85
华侨中学,筷子路,关联人物,0.7
佛山祖庙,光绪六年,始建于,0.9
佛山秋色,佛山大桥,发生于,0.85
佛山秋色,元甲,发生于,0.75
郭鉴冰,佛山,活动于,0.85
李海泉,佛山,活动于,0.9
招雨田,南海中学,创建修建,0.9
招雨田,南海中学,活动于,0.8
简文会,南海县,活动于,0.8
黄靖养,顺德县,活动于,0.85
黄萧养,潘村,活动于,0.9
黄萧养,潘村,同族,0.85
黄萧养,顺德县,属于时期,0.8
梁广,季华乡,关联人物,0.9
祖庙铺,佛山,位于,0.8
梁广,佛山,活动于,0.75
伦文叙,忠义乡,关联人物,0.85
伦文叙,忠义乡,活动于,0.7
伦文叙,灵应祠,关联人物,0.8
伦文叙,葵林院,活动于,0.9
伦文叙,葵林院,著有,0.85
伦文叙,正德五年,属于时期,0.9
伦文叙,正德八年,属于时期,0.9
葵林院,黎涌村,位于,0.9
王阳明,佛山,活动于,0.75
李待问,崇祯元年,属于时期,0.95
李升问,佛山,活动于,0.8
上梓,佛山市志,记载于,0.85
李侍问,佛山忠义乡志,著有,1.0
李侍问,佛山,著有,0.9
李侍问,佛山,活动于,0.8
梁锡植,佛山,活动于,0.85
李侍问,佛山,属于时期,0.8
李侍问,佛山忠义乡志,创建修建,0.8
乾隆,佛山忠义乡志,属于时期,0.95
李绍祖,佛山忠义乡志,关联人物,0.8
梁财信,澜石镇,属于时期,0.9
梁财信,潘日舒,关联人物,0.85
梁财信,潘日舒,同族,0.75
潘日舒,澜石镇,活动于,0.9
潘日舒,梁财信,传承于,0.8
潘日舒,梁财信,同族,0.75
梁财信,澜石镇,活动于,0.9
梁财信,石湾,活动于,0.8
梁财信,佛山,活动于,0.85
梁财信,跌打医术,传承于,0.85
招子庸,横沙,出生于,0.95
潘光岳,会馆,创建修建,0.95
潘光岳,道光十三年,属于时期,0.9
梁九图,通济桥,创建修建,0.8
梁九图,戴鸿慈,关联人物,0.85
李文田,通济桥,活动于,0.7
梁九图,梁九章,同族,0.85
陈开,天地会,属于时期,0.9
陈开,天地会,创建修建,0.8
丰宁寺,佛山镇,位于,0.75
陈开,丰宁寺,活动于,0.8
李文茂,三元里,活动于,0.85
陈开,三元里,活动于,0.85
陈开,桂林,活动于,0.85
李文茂,桂林,活动于,0.85
圆明园,同治十三年,承载文化,0.8
李文田,康有为,同族,0.75
康有为,同治十二年,活动于,0.85
戴鸿慈,《出使九国日记》,著有,0.95
吴荣光,梁启超,关联人物,0.85
《二十年目睹之怪现状》,吴路人,著有,0.9
吴踊人,欧阳予倩,关联人物,0.85
吴踊人,吴荣光,关联人物,0.8
吴踊人,吴荣光,同族,0.75
三品楼,祖庙,位于,0.85
三品楼,佛山镇,位于,0.85
洗宝干,佛山镇,出生于,0.95
洗宝干,《佛山忠义乡志》,著有,0.85
招雨田,云浮县,属于时期,0.85
梁桂华,云浮县,出生于,0.95
梁桂华,孔圣会今山紫商场,活动于,0.85
梁桂华,黄家祠,活动于,0.85
陈铁军,郭鉴冰,关联人物,0.9
潘玉书,石湾陶塑,著有,0.85
潘玉书,贵妃醉酒,著有,0.9
潘玉书,石湾,活动于,0.9
吴勤,南浦农团,关联人物,0.85
鸿胜体育会,山紫村,活动于,0.9
吴勤,南浦村,位于,0.9
黄少强,《可怜归去已无家》,承载文化,0.9
《可怜归去已无家》,黄少强,著有,0.9
佛山,文昌沙,活动于,0.8
佛山,南雄,承载文化,0.75
陈恭受,佛山,活动于,0.85
生祠,佛山,位于,0.75
吴满,蛇王满,创建修建,0.9
简氏兄弟,宣统元年1909年,属于时期,0.8
简氏兄弟,简照南,关联人物,0.9
简氏兄弟,简玉阶,关联人物,0.9
简氏兄弟,辛亥革命,发生于,0.85
简玉阶,佛山市,活动于,0.85
简玉阶,石湾,活动于,0.85
简玉阶,澜石,活动于,0.85
简玉阶,珠江三角洲,活动于,0.8
简照南,佛山市,活动于,0.75
简照南,石湾,活动于,0.75
简照南,澜石,活动于,0.75
简照南,珠江三角洲,活动于,0.8
石湾,佛山,属于时期,0.85
澜石,佛山,属于时期,0.85
陶师庙,石湾,承载文化,0.85
佛山,简氏,同族,0.85
朱光,广州,活动于,0.85
梅柏,佛山市,活动于,0.8
戴翼丰,《佛山忠义乡志》,著有,0.9
陈渭岩,光绪年间,属于时期,0.9
伍学宗,佛山循道医院,活动于,0.9
陈铁军,季华,关联人物,0.9
郭鉴冰,季华女校,活动于,0.8
郭鉴冰,季华小学,活动于,0.9
季华女校,佛山,位于,0.8
梁荫棠,陈斗武馆,活动于,0.9
梁荫棠,陈锦棠,活动于,0.85
梁荫棠,李海泉,活动于,0.85
梁日盛,佛山松桂里,出生于,0.85
梁新记兄弟牙刷公司,梁日盛,关联人物,0.9
梁新记兄弟牙刷公司,佛山,盛产,0.9
梁园,佛山,位于,0.85
梁园,佛山,承载文化,0.9
梁新记兄弟牙刷公司,梁园,关联人物,0.8
岭南画派,佛山,承载文化,0.85
祖庙,葛岗祖庙街,位于,0.95
南海郡,南海县,属于时期,0.9
南海县,粤海道,属于时期,0.85
南海县,广东省,属于时期,0.9
西樵山,南海县,位于,0.95
石碍西瓜,盐步秋茄,盛产,0.85
西樵简村,香云纱,承载文化,0.9
民乐林村,香云纱,承载文化,0.9
陈启沅,西樵简村,活动于,0.95
香云纱,西樵简村,承载文化,0.9
吴踊人,何剑士,同类,0.9
杜定友,康有为故居,关联人物,0.85
陈昭遇,佛山市志_下,记载于,0.85
何梦瑶,佛山市志_下,记载于,0.85
龙舟,武术,同类,0.8
武术,醒狮,同类,0.8
南海县,顺德县,属于时期,0.9
顺德县,广东省,属于时期,0.9
中共广东区委,顺德县,活动于,0.9
桑基鱼塘,甘蔗,同类,0.8
中共广东区委,三水县,活动于,0.9
中共广东区委,三水县,属于时期,0.85
文化馆,三水县,位于,0.9
图书馆,三水县,位于,0.9
文化公园,三水县,位于,0.9
高要县,明正统年间,活动于,0.9
陈子壮,高明,活动于,0.9
高明县,龙舟,承载文化,0.85
高明县,舞狮,承载文化,0.85
高明县,武术,承载文化,0.85
清代,佛山忠义乡志,著有,0.9
佛山忠义乡志,乾隆重十七年,记载于,0.9
李侍问,梁锡植,关联人物,0.9
佛山忠义乡志,李侍问,创建修建,0.8
王借岗,佛山镇,属于时期,0.85
西淋山,佛山镇,属于时期,0.85
蠕岗,佛山镇,属于时期,0.85
未珠岗,佛山镇,属于时期,0.85
吴荣光,康有为,著有,0.9
吴路人,康有为,同族,0.9
佛山八景,吴志,记载于,0.9
佛山八景,陈志,记载于,0.9
盘古圩,吴志,记载于,0.9
普君圩,吴志,记载于,0.9
表岗圩,吴志,记载于,0.9
公正市,吴志,记载于,0.9
朱紫市,吴志,记载于,0.9
三元市,吴志,记载于,0.9
佛山忠义乡志,民国12年,属于时期,0.95
洗宝干,佛山忠义乡志,著有,0.9
洗宝干,佛山忠义乡志,同族,0.85
戴鸿慈,佛山忠义乡志,关联人物,0.85
戴鸿慈,《佛山忠义乡志》,记载于,0.9
戴鸿慈,戴鸿惠,同族,0.95
戴鸿惠,《佛山忠义乡志》,创建修建,0.8
洗宝干,《佛山忠义乡志》,关联人物,0.85
区润东,黄祥华,同族,0.75
区润东,简照南,同族,0.7
仁地志,民国12年,记载于,0.95
仁地志,民国13年,记载于,0.95
仁地志,佛山,记载于,0.9
南洋兄弟烟草公司,巧明火柴厂,关联人物,0.8
李待问,国公庙,关联人物,0.8
新安街,国公庙,承载文化,0.9
佛山八景,村尾垂虹,属于时期,0.9
佛山八景,汾江草访,属于时期,0.9
村尾垂虹,佛山八景,承载文化,0.9
汾江草访,佛山八景,承载文化,0.9
同知,五斗口司巡检,属于时期,0.9
同知,分防都司,属于时期,0.9
同知,分防千总,属于时期,0.9
李北翔,佛山市博物馆,活动于,0.85
叶谷,佛山市博物馆,活动于,0.85
卢瑞华,佛山市博物馆,活动于,0.85
韩英,佛山市博物馆,活动于,0.85
《佛山史话》,《佛山市志_下》,著有,0.9
郑官应,佛山,活动于,0.8
李广海,佛山,活动于,0.75
陈显达,佛山,活动于,0.9
循道医院,佛山,位于,1.0
孙中山,冯氏宗祠,活动于,0.9
孙中山,清末,活动于,0.9
孙中山,学堂,活动于,0.85
孙中山,香港西医书院,活动于,0.9
孙中山,香港西医书院,著有,0.85
孙中山,西医书院,活动于,0.8
孙中山,兴中会,创建修建,0.9
康有为,广东南海县,出生于,0.95
康有为,西樵山,关联人物,0.85
康有为,广东南海县,属于时期,0.9
康有为,光绪二年,属于时期,0.85
朱九江,西樵山,活动于,0.8
光如楼,西樵山,位于,0.85
康有为,光绪帝,活动于,0.85
梁启超,光绪帝,活动于,0.85
谭嗣同,光绪帝,活动于,0.85
康有为,上海,活动于,0.85
康有为,青岛,活动于,0.9
简文会,黎涌村,出生于,0.85
伦文叙,黎涌村,出生于,0.85
简文会,南汉,属于时期,0.9
伦文叙,南汉,属于时期,0.9
葵林院,安南,承载文化,0.8
嘉靖八年,西樵山,记载于,0.8
万历十一年,伦文叙,属于时期,0.9
郑官应,上海,活动于,0.9
郑家应,轮船招商局,活动于,0.9
郑官应,轮船招商局,活动于,0.9
郑官应,轮船招商局,著有,0.85
郑官应,粤汉铁路,活动于,0.9
郑官应,粤汉铁路,著有,0.85
郑官应,粤汉铁路,创建修建,0.8
康有为,郑官应,关联人物,0.9
康有为,梁启超,同类,0.85
康有为,光绪,属于时期,0.9
同治,光绪,属于时期,0.9
郑家应,简氏兄弟,同族,0.8
蛇王满,大沥圩,活动于,0.9
蛇王满,佛山汾流街,活动于,0.9
三蛇胆,广州,盛产,0.9
三蛇胆,佛山,盛产,0.9
三蛇胆,广州,属于时期,0.75
梁财信,南海澜石,出生于,0.95
梁财信,南海澜石,活动于,0.85
梁财信,澜石,活动于,0.9
梁财信医馆,西樵山,位于,0.8
桂长,生祠,创建修建,0.9
桂长,光绪末年,属于时期,0.85
梁财信,梁氏家族,同族,0.9
梁财信,梁氏家族,属于时期,0.9
梦占,梁财信,同族,0.85
高厚慈,梦占,关联人物,0.8
梦占,梁氏家族,同族,0.9
梁氏家族,梦占,同族,0.9
梁氏家族,佛山,活动于,0.85
梁氏家族,广州十八甫,活动于,0.9
梁氏家族,香港,活动于,0.85
梁氏家族,澳门,活动于,0.8
梁氏家族,韶关,活动于,0.8
梁氏家族,容奇,活动于,0.8
梁氏家族,大良,活动于,0.8
梁氏家族,西南,活动于,0.85
梁财信,广州十八甫,活动于,0.9
梁财信,香港,活动于,0.85
梁财信,澳门,活动于,0.8
梁财信,韶关,活动于,0.8
梁财信,容奇,活动于,0.8
梁财信,大良,活动于,0.8
梁财信,西南,活动于,0.85
唐拾义,南海,出生于,0.9
唐拾义,广州,活动于,0.85
唐拾义,天津,活动于,0.85
唐拾义,香港,活动于,0.85
唐拾义,南海,活动于,0.8
唐拾义,佛山,活动于,0.7
张五,佛山镇,活动于,0.9
张五,佛山镇,创建修建,0.85
陈少白,粤剧,著有,0.85
石湾公仔,石湾镇,盛产,0.9
石湾公仔,石湾,承载文化,0.85
石湾公仔,石湾,活动于,0.75
石湾公仔,粤剧,承载文化,0.85
石湾公仔,粤剧,同族,0.7
粤剧,佛山,盛产,0.8
广绣,佛山,传承于,0.8
石湾公仔,广绣,承载文化,0.75
万福台,佛山,属于时期,0.85
万福台,佛山,始建于,0.95
星腔,李少芳,承载文化,0.85
星腔,黄少梅,承载文化,0.85
梁萌棠,新春秋班,活动于,0.85
黄飞鸿,桂腔,传承于,0.85
赵子龙催归,佛山粤剧团,承载文化,0.75
佛山粤剧团,珠海,盛产,0.8
黄炳,石湾,活动于,0.85
黄炳,石湾,同族,0.75
黄炳,陶师庙,关联人物,0.85
循道公会,太平坊,位于,0.85
华英中学,佛山一中,创建修建,0.95
华英中学,佛山一中,承载文化,0.8
华英中学,佛山,活动于,0.85
幕伊学校,公正市,位于,0.9
传家祠,节芳小学,位于,0.9
傅乘常,传家祠,关联人物,0.85
傅乘常,节芳小学,关联人物,0.85
佛山中学,季华小学,关联人物,0.9
陈恭受,张楼,活动于,0.8
陈恭受,忠义乡团,创建修建,0.85
陈炯明,佛山,活动于,0.85
孙中山,佛山,活动于,0.7
陈恭受,张楼,创建修建,0.85
九莲胜会,张楼,位于,0.9
陈恭受,佛山仁寿寺,活动于,0.75
陈蕉,生祠,创建修建,0.85
循道医院,佛山忠义乡志,记载于,0.9
祖庙,北帝铜像,承载文化,0.9
祖庙,佛山祖庙会,承载文化,0.85
祖庙,1962年,属于时期,0.95
祖庙,真武大帝,承载文化,0.9
万福台,祖庙,属于时期,0.8
锦香池,祖庙,属于时期,0.8
庆真楼,祖庙,属于时期,0.8
钟鼓楼,祖庙,属于时期,0.8
锦香池,祖庙,位于,1.0
钟鼓楼,祖庙,位于,1.0
锦香池,祖庙,承载文化,0.9
青龙,白虎,同类,0.9
青龙,朱雀,同类,0.9
真武玄天上帝,北帝,同族,0.85
真武,祖庙紫虚宫,位于,0.9
清雍正年间,祖庙,始建于,0.9
观音像,祖庙,位于,0.85
观音像,明嘉靖二十六年,记载于,0.9
观音像,北帝文身坐神像,同类,0.8
观音像,北帝武神,同类,0.8
观音像,北帝行宫,同类,0.8
阿育王,祖庙,关联人物,0.8
孔庙,祖庙,属于时期,0.85
孔庙,祖庙,创建修建,0.8
开笔礼,祖庙,承载文化,0.85
祖庙,北帝,著有,0.8
佛山忠义乡志,北帝巡游,记载于,0.9
祖庙灵应祠,佛山,位于,0.9
万福台,佛山,位于,0.85
粤剧,万福台,承载文化,0.85
粤剧,佛山粤剧博物馆,承载文化,0.9
佛山狮头,醒狮,承载文化,0.85
佛山狮头,醒狮,属于时期,0.9
采青,醒狮,承载文化,0.85
高桩狮,醒狮,同类,0.9
高杆狮,醒狮,同类,0.9
八音锣鼓柜,祖庙,承载文化,0.85
佛山烧大爆,北帝诞,发生于,0.9
佛山烧大爆,祖庙,承载文化,0.85
佛山烧大爆,北帝诞,关联人物,0.75
真武庙,佛山祖庙,承载文化,0.85
大爆,佛山祖庙,承载文化,0.85
陈启贤,佛山忠义乡,活动于,0.85
乡饮,佛山忠义乡,承载文化,0.9
道光《佛山忠义乡志》,佛山忠义乡,记载于,0.95
乡饮,道光《佛山忠义乡志》,记载于,0.95
乡饮酒礼,祖庙,承载文化,0.85
筷子路,祖庙,位于,0.9
锦香池,佛山祖庙,属于时期,0.85
钟鼓楼,佛山祖庙,属于时期,0.85
前典,佛山祖庙,属于时期,0.85
正区,佛山祖庙,属于时期,0.85
庆真楼,佛山祖庙,属于时期,0.85
灵应牌坊,祖庙,承载文化,0.9
灵应牌坊,明朝景泰二年,始建于,0.9
景泰皇帝,祖庙,承载文化,0.9
明正德八年,忠义宫,始建于,0.9
明朝景泰初年,三门,始建于,0.9
光绪年间,正殿,始建于,0.85
天井,正殿,位于,0.9
正殿,祖庙,属于时期,0.85
大力士武士,孔圣殿,承载文化,0.85
洋人侵略者,孔圣殿,承载文化,0.85
夏怡和店,广世南,同类,0.75
夏怡和店,孔圣殿,创建修建,0.9
壁戏,筷子庙堂碑,承载文化,0.9
广世南,筷子庙堂碑,著有,0.85
佛山名人谱,壁戏,承载文化,0.9
佛山,状元,盛产,0.85
佛山,进士,盛产,0.85
张镇孙,状元,关联人物,0.9
伦文叙,状元,关联人物,0.9
黄士俊,状元,关联人物,0.9
张镇孙,佛山,活动于,0.85
黄士俊,佛山,活动于,0.85
梁祠,梁灶,承载文化,0.8
梁祠,洛芝兰牌坊,承载文化,0.75
梁祠,正德十六年,始建于,0.8
祖庙,石湾陶塑艺术,承载文化,0.9
祖庙,石湾,位于,0.85
石湾陶塑艺术,石湾,盛产,0.9
佛山石湾陶塑,美陶湾,关联人物,0.85
佛山石湾陶塑,美陶湾,活动于,0.75
般烧,祖庙,承载文化,0.9
祖庙,般烧,盛产,0.85
陈家祠,祖庙,关联人物,0.85
宝珠,祖庙,位于,0.9
鳌鱼造型,祖庙,位于,0.85
庆真楼,光绪二十二年,始建于,0.8
庆真楼,石湾陶塑,承载文化,0.9
牛郎织女,石湾陶塑,承载文化,0.9
穆桂英挂帅,石湾陶塑,承载文化,0.9
天官赐福,石湾陶塑,承载文化,0.9
祖庙,屏障,位于,0.9
屏障,双戏龙珠,承载文化,0.85
黄古珍,日神,承载文化,0.9
黄古珍,月神,承载文化,0.9
日神,灰塑,同类,0.85
月神,灰塑,同类,0.85
唐玄宗,唐明皇游月宫,承载文化,1.0
唐明皇,祖庙端肃门,承载文化,0.85
灰塑,祖庙端肃门,位于,0.9
布根泉,佛山祖庙,创建修建,0.85
桃园三结义,佛山祖庙,记载于,0.8
石雕艺术,红砂岩石雕神案,承载文化,0.85
红砂岩石雕神案,祖庙,位于,0.85
麒麟社,忠义乡,关联人物,0.8
麒麟社,忠义乡,属于时期,0.75
麒麟社,麒麟石照壁,承载文化,0.7
三门,石雕狮子,位于,0.9
砖雕,三门东西侧围墙,承载文化,0.9
砖雕,端肃门,位于,0.85
砖雕,崇敬门,位于,0.85
木雕艺术,祖庙,承载文化,0.9
木雕艺术,祖庙,位于,0.85
祖庙,伏虎罗汉,承载文化,0.9
伏虎罗汉,祖庙,位于,0.85
降龙罗汉,祖庙,位于,0.9
祖庙,光绪二十二年,始建于,0.8
狄青,摘星楼,关联人物,0.85
庆真楼,木雕花罩,承载文化,0.9
木雕花罩,庆真楼,位于,0.9
祖庙,旗带水,位于,0.9
乾隆,祖庙,始建于,0.9
民国三十三年,祖庙,创建修建,0.85
佛山,一洞天,位于,0.9
一洞天,正殿,属于时期,0.85
大清乾隆廿四年,一洞天,承载文化,0.9
景泰二年,一洞天,承载文化,0.9
乾隆廿四年,正殿,承载文化,0.9
咸丰元年,正殿,属于时期,0.85
对联,正殿,承载文化,0.9
坎德,离明,同类,1.0
祖庙,醒狮台,关联人物,0.85
青石桌,万福台,位于,0.85
木制八仙桌,祖庙,属于时期,0.75
佛山忠义乡志,塔坡寺,记载于,0.85
塔坡寺,佛山忠义乡志,位于,0.9
北帝铜像,北帝,承载文化,0.95
北帝铜像,塔坡寺,位于,0.8
佛山特有工艺,秋色艺术品,承载文化,0.85
灵应祠,佛山镇,位于,0.85
嘉靖,灵应祠,始建于,0.9
万历,佛山冶铁业,属于时期,0.9
康熙,佛山冶铁业,属于时期,0.9
嘉庆,佛山冶铁业,属于时期,0.9
万明炉,佛山冶铁业,承载文化,0.9
万明炉,佛山冶铁业,著有,0.9
瞻炉,佛山冶铁业,承载文化,0.9
瞻炉,光绪二十五年,承载文化,0.85
瞻炉,云泉仙馆,位于,0.95
瞻炉,佛山祖庙,位于,0.9
光绪二十二年,正殿神案,记载于,0.9
祖庙,正殿神案,承载文化,0.85
正殿神案,祖庙,位于,0.8
佛山镇,祖庙,活动于,0.8
佛山志,金套殿,记载于,0.9
光绪二十二年,佛山承龙街,属于时期,0.8
经堂寺铁塔,祖庙,位于,0.85
麒麟,祖庙,承载文化,0.85
祖庙,麒麟,承载文化,0.85
飞贼,祖庙,关联人物,0.9
刘归,祖庙,关联人物,0.85
小满儿,祖庙,关联人物,0.8
石奈,双云龙柱,创建修建,0.9
双云龙柱,药王庙,位于,0.9
双云龙柱,药王庙,承载文化,0.85
双云龙柱,民国《佛山忠义乡志》,记载于,0.9
刘顺,青龙洞,活动于,0.85
青龙洞,祖庙,位于,1.0
赵师人,平英团,同族,0.9
赵师傅,平英团,关联人物,0.85
赵师傅,神台,创建修建,0.9
平英团,神台,记载于,0.8
祖庙,忠义乡,属于时期,0.85
祖庙,忠义第一社坛,承载文化,0.8
忠义社,忠义第一社坛,关联人物,0.75
麒麟,忠义第一社坛,承载文化,0.85
祖庙,补鞋能,承载文化,0.85
岭南,佛山,活动于,0.85
岭南,佛山,属于时期,0.8
嘉靖九年,祖庙,记载于,0.85
铁匠,佛山竹枝词,记载于,0.85
南风古灶龙窗,佛山,属于时期,0.9
南风古灶龙窗,佛山竹枝词,记载于,0.85
佛山人,祖庙,活动于,0.8
佛山人,祖庙,创建修建,0.9
佛山祖庙,佛山祖庙庙会,记载于,0.8
佛山祖庙庙会,佛山祖庙,关联人物,0.75
祖庙,非物质文化遗产,承载文化,0.8
孙中山,佛山秋色艺术,传承于,0.8
梁启超,黄埔军校,活动于,0.7
马师曾,龙母祖庙,关联人物,0.8
曾牧野,南海神庙,活动于,0.85
丘陶亮,广州越秀古书院,关联人物,0.8
朱九江,洗夫人文化,关联人物,0.8
陈家祠,广州越秀古书院,同类,0.75
韩文公祠,韩山书院,同类,0.75
吴娟容,忠信花灯,传承于,0.95
